scenario,region,year,tcsi
historical,South,1980,0.72
historical,South,1981,0.7224
historical,South,1982,0.7051
historical,South,1983,0.7003
historical,South,1984,0.7192
historical,South,1985,0.7127
historical,South,1986,0.7132
historical,South,1987,0.7016
historical,South,1988,0.7028
historical,South,1989,0.6978
historical,South,1990,0.7015
historical,South,1991,0.7247
historical,South,1992,0.7096
historical,South,1993,0.7084
historical,South,1994,0.7122
historical,South,1995,0.7145
historical,South,1996,0.7015
historical,South,1997,0.7234
historical,South,1998,0.702
historical,South,1999,0.7008
historical,South,2000,0.7136
historical,South,2001,0.7053
historical,South,2002,0.713
historical,South,2003,0.7154
historical,South,2004,0.7146
historical,South,2005,0.7186
historical,South,2006,0.7174
historical,South,2007,0.7258
historical,South,2008,0.7009
historical,South,2009,0.7126
historical,South,2010,0.7173
historical,South,2011,0.7097
historical,South,2012,0.7162
historical,South,2013,0.7128
historical,South,2014,0.7024
historical,East Coast,1950,0.9545
historical,East Coast,1951,0.9675
historical,East Coast,1952,0.9377
historical,East Coast,1953,0.9824
historical,East Coast,1954,0.9583
historical,East Coast,1955,0.938
historical,East Coast,1956,0.9493
historical,East Coast,1957,0.9499
historical,East Coast,1958,0.9887
historical,East Coast,1959,0.9327
historical,East Coast,1960,0.9579
historical,East Coast,1961,0.9195
historical,East Coast,1962,0.9164
historical,East Coast,1963,0.9542
historical,East Coast,1964,0.9647
historical,East Coast,1965,0.9794
historical,East Coast,1966,0.9716
historical,East Coast,1967,0.9629
historical,East Coast,1968,0.9853
historical,East Coast,1969,0.9468
historical,East Coast,1970,0.9711
historical,East Coast,1971,0.9729
historical,East Coast,1972,0.962
historical,East Coast,1973,0.9646
historical,East Coast,1974,0.9497
historical,East Coast,1975,0.9554
historical,East Coast,1976,0.9738
historical,East Coast,1977,0.9801
historical,East Coast,1978,0.9592
historical,East Coast,1979,0.9573
historical,East Coast,1980,0.9976
historical,East Coast,1981,0.9726
historical,East Coast,1982,0.9756
historical,East Coast,1983,0.9285
historical,East Coast,1984,0.928
historical,East Coast,1985,0.9881
historical,East Coast,1986,0.9884
historical,East Coast,1987,0.9762
historical,East Coast,1988,0.9754
historical,East Coast,1989,0.9748
historical,East Coast,1990,0.9634
historical,East Coast,1991,0.9507
historical,East Coast,1992,0.9872
historical,East Coast,1993,0.9848
historical,East Coast,1994,0.9574
historical,East Coast,1995,0.9322
historical,East Coast,1996,0.9577
historical,East Coast,1997,0.9639
historical,East Coast,1998,0.9757
historical,East Coast,1999,0.9388
historical,East Coast,2000,0.9563
historical,East Coast,2001,0.9706
historical,East Coast,2002,0.9605
historical,East Coast,2003,0.9486
historical,East Coast,2004,0.9672
historical,East Coast,2005,0.9826
historical,East Coast,2006,0.9619
historical,East Coast,2007,0.9739
historical,East Coast,2008,0.9587
historical,East Coast,2009,0.9795
historical,East Coast,2010,0.9469
historical,East Coast,2011,0.9838
historical,East Coast,2012,0.9557
historical,East Coast,2013,0.9565
historical,East Coast,2014,0.9233
ssp126,West Coast,2015,0.8092
ssp126,West Coast,2016,0.771
ssp126,West Coast,2017,0.791
ssp126,West Coast,2018,0.7695
ssp126,West Coast,2019,0.7888
ssp126,West Coast,2020,0.8139
ssp126,West Coast,2021,0.7115
ssp126,West Coast,2022,0.8322
ssp126,West Coast,2023,0.7733
ssp126,West Coast,2024,0.7703
ssp126,West Coast,2025,0.7672
ssp126,West Coast,2026,0.785
ssp126,West Coast,2027,0.709
ssp126,West Coast,2028,0.7714
ssp126,West Coast,2029,0.8272
ssp126,West Coast,2030,0.7796
ssp126,West Coast,2031,0.7589
ssp126,West Coast,2032,0.8238
ssp126,West Coast,2033,0.7979
ssp126,West Coast,2034,0.8243
ssp126,West Coast,2035,0.7698
ssp126,West Coast,2036,0.8063
ssp126,West Coast,2037,0.7424
ssp126,West Coast,2038,0.8015
ssp126,West Coast,2039,0.8069
ssp126,West Coast,2040,0.7836
ssp126,West Coast,2041,0.7166
ssp126,West Coast,2042,0.7868
ssp126,West Coast,2043,0.7915
ssp126,West Coast,2044,0.8312
ssp126,West Coast,2045,0.7965
ssp126,West Coast,2046,0.8594
ssp126,West Coast,2047,0.8086
ssp126,West Coast,2048,0.7477
ssp126,West Coast,2049,0.7363
ssp126,West Coast,2050,0.7843
ssp126,West Coast,2051,0.7942
ssp126,West Coast,2052,0.7946
ssp126,West Coast,2053,0.7959
ssp126,West Coast,2054,0.8888
ssp126,West Coast,2055,0.7555
ssp126,West Coast,2056,0.7996
ssp126,West Coast,2057,0.7548
ssp126,West Coast,2058,0.8332
ssp126,West Coast,2059,0.8599
ssp126,West Coast,2060,0.7982
ssp126,West Coast,2061,0.8405
ssp126,West Coast,2062,0.8352
ssp126,West Coast,2063,0.8146
ssp126,West Coast,2064,0.7271
ssp126,West Coast,2065,0.83
ssp126,West Coast,2066,0.8373
ssp126,West Coast,2067,0.75
ssp126,West Coast,2068,0.7712
ssp126,West Coast,2069,0.6775
ssp126,West Coast,2070,0.7456
ssp126,West Coast,2071,0.8058
ssp126,West Coast,2072,0.7294
ssp126,West Coast,2073,0.8233
ssp126,West Coast,2074,0.8608
ssp126,West Coast,2075,0.7903
ssp126,West Coast,2076,0.7914
ssp126,West Coast,2077,0.8532
ssp126,West Coast,2078,0.8403
ssp126,West Coast,2079,0.7584
ssp126,West Coast,2080,0.7184
ssp126,West Coast,2081,0.8351
ssp126,West Coast,2082,0.7703
ssp126,West Coast,2083,0.7521
ssp126,West Coast,2084,0.8461
ssp126,West Coast,2085,0.7967
ssp126,West Coast,2086,0.7306
ssp126,West Coast,2087,0.78
ssp126,West Coast,2088,0.8285
ssp126,West Coast,2089,0.8138
ssp126,West Coast,2090,0.756
ssp126,West Coast,2091,0.7377
ssp126,West Coast,2092,0.8166
ssp126,West Coast,2093,0.7798
ssp126,West Coast,2094,0.7938
ssp126,West Coast,2095,0.7786
ssp126,West Coast,2096,0.7477
ssp126,West Coast,2097,0.8228
ssp126,West Coast,2098,0.8061
ssp126,West Coast,2099,0.802
ssp126,West Coast,2100,0.8118
ssp126,Northwest / Mountain,2015,0.5553
ssp126,Northwest / Mountain,2016,0.5858
ssp126,Northwest / Mountain,2017,0.6813
ssp126,Northwest / Mountain,2018,0.655
ssp126,Northwest / Mountain,2019,0.6018
ssp126,Northwest / Mountain,2020,0.6236
ssp126,Northwest / Mountain,2021,0.6964
ssp126,Northwest / Mountain,2022,0.5066
ssp126,Northwest / Mountain,2023,0.6035
ssp126,Northwest / Mountain,2024,0.5508
ssp126,Northwest / Mountain,2025,0.5319
ssp126,Northwest / Mountain,2026,0.572
ssp126,Northwest / Mountain,2027,0.6161
ssp126,Northwest / Mountain,2028,0.5077
ssp126,Northwest / Mountain,2029,0.6834
ssp126,Northwest / Mountain,2030,0.5952
ssp126,Northwest / Mountain,2031,0.6072
ssp126,Northwest / Mountain,2032,0.6349
ssp126,Northwest / Mountain,2033,0.5535
ssp126,Northwest / Mountain,2034,0.4992
ssp126,Northwest / Mountain,2035,0.5786
ssp126,Northwest / Mountain,2036,0.5616
ssp126,Northwest / Mountain,2037,0.6434
ssp126,Northwest / Mountain,2038,0.6655
ssp126,Northwest / Mountain,2039,0.6158
ssp126,Northwest / Mountain,2040,0.6703
ssp126,Northwest / Mountain,2041,0.5801
ssp126,Northwest / Mountain,2042,0.5643
ssp126,Northwest / Mountain,2043,0.5871
ssp126,Northwest / Mountain,2044,0.5769
ssp126,Northwest / Mountain,2045,0.6858
ssp126,Northwest / Mountain,2046,0.5782
ssp126,Northwest / Mountain,2047,0.5316
ssp126,Northwest / Mountain,2048,0.5563
ssp126,Northwest / Mountain,2049,0.6828
ssp126,Northwest / Mountain,2050,0.6176
ssp126,Northwest / Mountain,2051,0.5967
ssp126,Northwest / Mountain,2052,0.5523
ssp126,Northwest / Mountain,2053,0.5887
ssp126,Northwest / Mountain,2054,0.4977
ssp126,Northwest / Mountain,2055,0.5046
ssp126,Northwest / Mountain,2056,0.5722
ssp126,Northwest / Mountain,2057,0.5645
ssp126,Northwest / Mountain,2058,0.5857
ssp126,Northwest / Mountain,2059,0.5807
ssp126,Northwest / Mountain,2060,0.5957
ssp126,Northwest / Mountain,2061,0.5387
ssp126,Northwest / Mountain,2062,0.5663
ssp126,Northwest / Mountain,2063,0.5206
ssp126,Northwest / Mountain,2064,0.6275
ssp126,Northwest / Mountain,2065,0.4975
ssp126,Northwest / Mountain,2066,0.5425
ssp126,Northwest / Mountain,2067,0.554
ssp126,Northwest / Mountain,2068,0.5399
ssp126,Northwest / Mountain,2069,0.6731
ssp126,Northwest / Mountain,2070,0.6474
ssp126,Northwest / Mountain,2071,0.6115
ssp126,Northwest / Mountain,2072,0.6801
ssp126,Northwest / Mountain,2073,0.5777
ssp126,Northwest / Mountain,2074,0.5182
ssp126,Northwest / Mountain,2075,0.6046
ssp126,Northwest / Mountain,2076,0.4871
ssp126,Northwest / Mountain,2077,0.4704
ssp126,Northwest / Mountain,2078,0.5193
ssp126,Northwest / Mountain,2079,0.6474
ssp126,Northwest / Mountain,2080,0.6685
ssp126,Northwest / Mountain,2081,0.5635
ssp126,Northwest / Mountain,2082,0.6031
ssp126,Northwest / Mountain,2083,0.5662
ssp126,Northwest / Mountain,2084,0.6469
ssp126,Northwest / Mountain,2085,0.5921
ssp126,Northwest / Mountain,2086,0.5924
ssp126,Northwest / Mountain,2087,0.5642
ssp126,Northwest / Mountain,2088,0.4932
ssp126,Northwest / Mountain,2089,0.6021
ssp126,Northwest / Mountain,2090,0.6377
ssp126,Northwest / Mountain,2091,0.6483
ssp126,Northwest / Mountain,2092,0.5431
ssp126,Northwest / Mountain,2093,0.6003
ssp126,Northwest / Mountain,2094,0.5646
ssp126,Northwest / Mountain,2095,0.6077
ssp126,Northwest / Mountain,2096,0.6629
ssp126,Northwest / Mountain,2097,0.5041
ssp126,Northwest / Mountain,2098,0.5914
ssp126,Northwest / Mountain,2099,0.6141
ssp126,Northwest / Mountain,2100,0.6236
ssp126,South,2015,0.7116
ssp126,South,2016,0.6965
ssp126,South,2017,0.6848
ssp126,South,2018,0.7175
ssp126,South,2019,0.7092
ssp126,South,2020,0.6936
ssp126,South,2021,0.6904
ssp126,South,2022,0.7056
ssp126,South,2023,0.7114
ssp126,South,2024,0.7098
ssp126,South,2025,0.7078
ssp126,South,2026,0.7122
ssp126,South,2027,0.7067
ssp126,South,2028,0.709
ssp126,South,2029,0.7154
ssp126,South,2030,0.7177
ssp126,South,2031,0.7016
ssp126,South,2032,0.7024
ssp126,South,2033,0.6861
ssp126,South,2034,0.7187
ssp126,South,2035,0.7095
ssp126,South,2036,0.6996
ssp126,South,2037,0.72
ssp126,South,2038,0.692
ssp126,South,2039,0.7158
ssp126,South,2040,0.7155
ssp126,South,2041,0.7171
ssp126,South,2042,0.6964
ssp126,South,2043,0.7028
ssp126,South,2044,0.7183
ssp126,South,2045,0.7026
ssp126,South,2046,0.7071
ssp126,South,2047,0.709
ssp126,South,2048,0.7139
ssp126,South,2049,0.7048
ssp126,South,2050,0.6895
ssp126,South,2051,0.708
ssp126,South,2052,0.6777
ssp126,South,2053,0.706
ssp126,South,2054,0.7213
ssp126,South,2055,0.7188
ssp126,South,2056,0.7
ssp126,South,2057,0.714
ssp126,South,2058,0.7009
ssp126,South,2059,0.7028
ssp126,South,2060,0.7189
ssp126,South,2061,0.721
ssp126,South,2062,0.7101
ssp126,South,2063,0.706
ssp126,South,2064,0.7055
ssp126,South,2065,0.7169
ssp126,South,2066,0.6954
ssp126,South,2067,0.7162
ssp126,South,2068,0.7148
ssp126,South,2069,0.6891
ssp126,South,2070,0.7155
